order_id,customer_id,date,revenue,product_category,discount
ORD1000,CUST154,2023-02-03 00:00:00,1500.0,Clothing,31.23
ORD1001,CUST131,2023-01-28 00:00:00,1500.0,Clothing,7.19
ORD1002,CUST193,2023-02-15 00:00:00,1500.0,Clothing,12.06
ORD1003,CUST112,2023-02-12 00:00:00,1500.0,Clothing,49.06
ORD1004,CUST113,2023-02-21 00:00:00,1500.0,Home,14.51
ORD1005,CUST103,2023-02-08 00:00:00,1500.0,Clothing,23.83
ORD1006,CUST176,2023-01-30 00:00:00,1500.0,Home,36.56
ORD1007,CUST180,2023-01-27 00:00:00,1500.0,,43.0
ORD1008,CUST173,2023-02-11 00:00:00,1500.0,Clothing,28.21
ORD1009,CUST177,2023-01-12 00:00:00,1500.0,Home,39.02
ORD1010,CUST141,2023-01-10 00:00:00,1500.0,Clothing,16.55
ORD1011,CUST140,2023-02-16 00:00:00,1500.0,Clothing,33.57
ORD1012,CUST109,2023-01-04 00:00:00,1500.0,Electronics,48.44
ORD1013,CUST150,2023-02-23 00:00:00,1500.0,,41.8
ORD1014,CUST174,2023-03-02 00:00:00,1500.0,Books,27.99
ORD1015,CUST194,2023-02-06 00:00:00,1500.0,,36.36
ORD1016,CUST191,2023-02-09 00:00:00,1500.0,Books,46.1
ORD1017,CUST121,2023-02-13 00:00:00,1500.0,Electronics,49.39
ORD1018,CUST175,2023-01-02 00:00:00,1500.0,Clothing,49.8
ORD1019,CUST176,2023-01-20 00:00:00,1500.0,Home,15.02
ORD1020,CUST195,2023-01-08 00:00:00,1500.0,Home,41.12
ORD1021,CUST183,2023-02-23 00:00:00,1500.0,Clothing,47.94
ORD1022,CUST175,2023-01-15 00:00:00,1500.0,Electronics,11.23
ORD1023,CUST155,2023-02-23 00:00:00,1500.0,Clothing,46.24
ORD1024,CUST102,2023-02-12 00:00:00,1500.0,Electronics,7.03
ORD1025,CUST194,2023-01-22 00:00:00,1500.0,Books,8.39
ORD1026,CUST167,2023-01-10 00:00:00,1500.0,Electronics,43.53
ORD1027,CUST153,2023-02-10 00:00:00,1500.0,Electronics,28.62
ORD1028,CUST158,2023-01-28 00:00:00,1500.0,Books,13.01
ORD1029,CUST193,2023-02-12 00:00:00,1500.0,Books,31.27
ORD1030,CUST161,2023-02-27 00:00:00,1500.0,Home,36.07
ORD1031,CUST163,2023-01-26 00:00:00,1500.0,Books,27.47
ORD1032,CUST195,2023-01-05 00:00:00,1500.0,Home,30.37
ORD1033,CUST126,2023-02-17 00:00:00,1500.0,Home,6.25
ORD1034,CUST119,2023-02-02 00:00:00,1500.0,,46.8
ORD1035,CUST126,2023-02-19 00:00:00,1500.0,Electronics,8.15
ORD1036,CUST197,2023-01-27 00:00:00,1500.0,Clothing,28.77
ORD1037,CUST189,2023-01-16 00:00:00,1500.0,Clothing,18.27
ORD1038,CUST138,2023-02-23 00:00:00,1500.0,,47.14
ORD1039,CUST154,2023-01-13 00:00:00,1500.0,,9.21
ORD1040,CUST138,2023-02-26 00:00:00,1500.0,Clothing,30.44
ORD1041,CUST167,2023-03-01 00:00:00,1500.0,Home,23.16
ORD1042,CUST113,2023-03-02 00:00:00,1500.0,Home,46.42
ORD1043,CUST168,2023-02-06 00:00:00,1500.0,,14.24
ORD1044,CUST179,2023-01-15 00:00:00,1500.0,Clothing,43.41
ORD1045,CUST131,2023-01-24 00:00:00,1500.0,Home,34.17
